73E00a.104	ＧＳ科目	芸術と自己表現	水4	小野　隆太	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73E00a.105	ＧＳ科目	芸術と自己表現	水2	大村　雅章	全学生（学校教育学類1年及び共通教育科目に係る卒業要件未充足の2年以上優先）
73E00a.106	ＧＳ科目	芸術と自己表現	火2	池上　貴之	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73E00a.107	ＧＳ科目	芸術と自己表現	火2	西島　千尋	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73E00a.108	ＧＳ科目	芸術と自己表現	水2	安藤　常光	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73F0i.101	ＧＳ科目	スポーツ科学／身体運動心理学Ⅰ	金2	村山　孝之	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73F0k.101	ＧＳ科目	スポーツ科学／スポーツ健康科学入門Ⅰ	水2	津田　龍佑	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73F0m.101	ＧＳ科目	スポーツ科学／身体運動の神経制御Ⅰ	水4	木村　岳裕	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74125.101	ＧＳ言語科目	TOEIC準備（演習）	月5	澤田　茂保	未履修または「放棄」の2年以上限定
74125.102	ＧＳ言語科目	TOEIC準備（演習）	水5	西嶋　愉一	未履修または「放棄」の2年以上限定
74125.103	ＧＳ言語科目	TOEIC準備（演習）	金5	澤田　茂保	未履修または「放棄」の2年以上限定
74135.101	ＧＳ言語科目	EAP（Retake）	月5	大藪　加奈	2年以上限定・未修得者のみ
74135.102	ＧＳ言語科目	EAP（Retake）	火3	河田　英介	2年以上限定・未修得者のみ
74135.103	ＧＳ言語科目	EAP（Retake）	火5	家口　美智子	2年以上限定・未修得者のみ
74135.104	ＧＳ言語科目	EAP（Retake）	水3	家口　美智子	2年以上限定・未修得者のみ
74135.105	ＧＳ言語科目	EAP（Retake）	水5	大藪　加奈	2年以上限定・未修得者のみ
74135.106	ＧＳ言語科目	EAP（Retake）	木4	菅野　磨美	2年以上限定・未修得者のみ
7421a.001	言語科目Ａ	ドイツ語Ａ１－１	月5	早川　文人	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7421a.B01	言語科目Ａ	ドイツ語Ａ１－１	火2	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.B02	言語科目Ａ	ドイツ語Ａ１－１	火2	佐藤　文彦	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.B03	言語科目Ａ	ドイツ語Ａ１－１	木4	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.B04	言語科目Ａ	ドイツ語Ａ１－１	木4	髙橋　麻帆	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.B05	言語科目Ａ	ドイツ語Ａ１－１	木4	佐藤　文彦	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.D01	言語科目Ａ	ドイツ語Ａ１－１	火3	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.D02	言語科目Ａ	ドイツ語Ａ１－１	木3	髙橋　麻帆	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.D03	言語科目Ａ	ドイツ語Ａ１－１	木3	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421a.D04	言語科目Ａ	ドイツ語Ａ１－１	火3	髙橋　麻帆	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.001	言語科目Ａ	ドイツ語Ａ２－１	水5	KLACANSKA JANA	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7421c.B01	言語科目Ａ	ドイツ語Ａ２－１	木4	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.B02	言語科目Ａ	ドイツ語Ａ２－１	木4	THELEN TIMO	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.B03	言語科目Ａ	ドイツ語Ａ２－１	火2	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.B04	言語科目Ａ	ドイツ語Ａ２－１	火2	THELEN TIMO	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.B05	言語科目Ａ	ドイツ語Ａ２－１	火2	仲正　昌樹	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.D01	言語科目Ａ	ドイツ語Ａ２－１	木3	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.D02	言語科目Ａ	ドイツ語Ａ２－１	火3	BITTMANN HEIKO	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.D03	言語科目Ａ	ドイツ語Ａ２－１	火3	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421c.D04	言語科目Ａ	ドイツ語Ａ２－１	木3	仲正　昌樹	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.001	言語科目Ａ	ドイツ語基礎１	月5	早川　文人	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7421i.B01	言語科目Ａ	ドイツ語基礎１	火2	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.B02	言語科目Ａ	ドイツ語基礎１	火2	佐藤　文彦	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.B03	言語科目Ａ	ドイツ語基礎１	木4	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.B04	言語科目Ａ	ドイツ語基礎１	木4	髙橋　麻帆	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.B05	言語科目Ａ	ドイツ語基礎１	木4	佐藤　文彦	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.D01	言語科目Ａ	ドイツ語基礎１	火3	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.D02	言語科目Ａ	ドイツ語基礎１	木3	髙橋　麻帆	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.D03	言語科目Ａ	ドイツ語基礎１	木3	早川　文人	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421i.D04	言語科目Ａ	ドイツ語基礎１	火3	髙橋　麻帆	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.001	言語科目Ａ	ドイツ語実践基礎１	水5	KLACANSKA JANA	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7421m.B01	言語科目Ａ	ドイツ語実践基礎１	木4	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.B02	言語科目Ａ	ドイツ語実践基礎１	木4	THELEN TIMO	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.B03	言語科目Ａ	ドイツ語実践基礎１	火2	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.B04	言語科目Ａ	ドイツ語実践基礎１	火2	THELEN TIMO	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.B05	言語科目Ａ	ドイツ語実践基礎１	火2	仲正　昌樹	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.D01	言語科目Ａ	ドイツ語実践基礎１	木3	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.D02	言語科目Ａ	ドイツ語実践基礎１	火3	BITTMANN HEIKO	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.D03	言語科目Ａ	ドイツ語実践基礎１	火3	KLACANSKA JANA	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421m.D04	言語科目Ａ	ドイツ語実践基礎１	木3	仲正　昌樹	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7421q.A	言語科目Ａ	ドイツ語基礎・実践基礎（抽選用）	火2,木4	未定	1年人文、法、国際限定
7421q.C	言語科目Ａ	ドイツ語基礎・実践基礎（抽選用）	火3,木3	未定	1年先導、観光、経済、地域、総合（文）限定
7422a.001	言語科目Ｂ	ドイツ語Ｂ－１	月5	KLACANSKA JANA	2年以上限定
7422a.002	言語科目Ｂ	ドイツ語Ｂ－１	水5	早川　文人	2年以上限定
7422c.001	言語科目Ｂ	ドイツ語展開Ⅰ	月5	KLACANSKA JANA	2年以上限定
7422c.002	言語科目Ｂ	ドイツ語展開Ⅰ	水5	早川　文人	2年以上限定
7431a.001	言語科目Ａ	フランス語Ａ１－１	月5	佐藤　朋子	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7431a.B01	言語科目Ａ	フランス語Ａ１－１	火2	岩津　航	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431a.B02	言語科目Ａ	フランス語Ａ１－１	火2	南　コニー	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431a.B03	言語科目Ａ	フランス語Ａ１－１	木4	南　コニー	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431a.D01	言語科目Ａ	フランス語Ａ１－１	火3	岩津　航	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431a.D02	言語科目Ａ	フランス語Ａ１－１	火3	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
