73621.01,自由履修科目,Pythonデータ分析入門,金3,東　昭孝,全学生,40,11,4,9,2,0,0,0
73622,自由履修科目,プレゼンテーション演習A,水5,森　祥寛,全学生,18,1,0,0,1,0,0,0
73642,自由履修科目,現代社会における保険の制度と役割Ⅰ,水4,村上　裕,２年次以上限定,50,3,1,3,0,0,0,0
73647,自由履修科目,文芸創作実践,金4,杉山　欣也,全学生（「超然文学賞」受賞者優先）,20,9,1,8,1,0,0,0
73654.03,自由履修科目,比較文化,火4,吉永　契一郎,全学生,36,7,1,7,0,0,0,0
73655.03,自由履修科目,高等教育研究,木4,吉永　契一郎,全学生,36,1,0,1,0,0,0,0
73669,自由履修科目,地域創造プロジェクト講義C,火3,田邊　浩,全学生（地域創造学類以外）（2022年度以降入学者履修登録用）,200,6,0,4,1,1,0,0
73681,自由履修科目,ローカルキャリアデザインⅡ,木5,佐川　哲也,全学生（地域創造学類優先，次いで融合学域・人文学類・法学類・経済学類・国際学類優先）,16,3,2,3,0,0,0,0
73701.01,自由履修科目,ピアノ教育の社会史,木3,吉永　契一郎,履修条件あり（ピアノ経験者）,36,11,0,7,4,0,0,0
73703,自由履修科目,北陸地域デザイン学,金4,篠田　隆行,全学生,150,13,2,13,0,0,0,0
73705,自由履修科目,シェルスクリプトを用いた「ものグラミング」演習B,金1,大野　浩之,全学生,18,5,1,5,0,0,0,0
73707,自由履修科目,シェルスクリプトを用いた「大規模データ処理」演習B,金2,大野　浩之,全学生,18,5,0,5,0,0,0,0
73712,自由履修科目,Unityゲーム開発演習,火3,東　昭孝,全学生,40,28,7,25,3,0,0,0
73716,自由履修科目,地域史料から描きなおす日本史,金3,上田　長生,全学生,50,15,6,15,0,0,0,0
73722,自由履修科目,数について,木2,岩瀨　順一,全学生,87,8,1,6,2,0,0,0
73B00a.314,ＧＳ科目,クリティカル・シンキング,月5,入江　浩司,全学生（総合教育部学生優先）,95,44,7,32,12,0,0,0
73B00a.345,ＧＳ科目,クリティカル・シンキング,木5,髙山　知明,全学生（総合教育部学生優先）,95,26,1,26,0,0,0,0
73B00a.353,ＧＳ科目,クリティカル・シンキング,月2,髙谷　掌子,全学生（総合教育部学生優先）,95,37,1,26,9,2,0,0
73B00a.354,ＧＳ科目,クリティカル・シンキング,月3,髙谷　掌子,全学生（総合教育部学生優先）,95,58,5,28,22,5,2,1
73C00a.311,ＧＳ科目,価値と情動の認知科学,月1,松井　三枝,全学生（総合教育部学生優先）,99,115,19,115,0,0,0,0
73C00a.322,ＧＳ科目,価値と情動の認知科学,火2,谷内　通,全学生（総合教育部学生優先）,99,67,14,57,6,4,0,0
73C00a.331,ＧＳ科目,価値と情動の認知科学,水1,松井　三枝,全学生（総合教育部学生優先）,99,121,22,111,8,1,1,0
73E00a.313,ＧＳ科目,芸術と自己表現,月3,浅井　暁子,全学生（総合教育部学生優先）,75,118,22,86,24,7,1,0
73E00a.332,ＧＳ科目,芸術と自己表現,水2,江藤　望,全学生（総合教育部学生優先）,75,114,32,95,19,0,0,0
73F0aa.355,ＧＳ科目,スポーツ科学健康教育入門Ⅰ,金5,岩田　英樹,全学生（総合教育部学生優先）,50,37,2,32,5,0,0,0
73F0ga.324,ＧＳ科目,スポーツ科学メンタルトレーニングⅠ,火4,村山　孝之,全学生（総合教育部学生優先）,80,125,32,111,13,1,0,0
73F0m.334,ＧＳ科目,スポーツ科学身体運動の神経制御Ⅰ,水4,木村　岳裕,全学生（総合教育部学生優先）,75,85,16,70,12,3,0,0
73F0pa.333,ＧＳ科目,スポーツ科学スポーツ生理学入門I,水3,芝口　翼,全学生（総合教育部学生優先）,80,66,11,46,12,7,1,0
74125.301,ＧＳ言語科目,TOEIC準備（演習）,火5,澤田　茂保,未履修または「放棄」の２年生以上限定,40,11,4,10,1,0,0,0
74125.302,ＧＳ言語科目,TOEIC準備（演習）,木5,數見　由紀子,未履修または「放棄」の２年生以上限定,40,8,2,8,0,0,0,0
74135.301,ＧＳ言語科目,EAP（Retake）,月5,大藪　加奈,２年生以上限定・未修得者のみ・３～４年生優先,40,10,5,10,0,0,0,0
74135.302,ＧＳ言語科目,EAP（Retake）,火3,菅野　磨美,２年生以上限定・未修得者のみ・３～４年生優先,40,13,2,13,0,0,0,0
74135.303,ＧＳ言語科目,EAP（Retake）,火5,家口　美智子,２年生以上限定・未修得者のみ・３～４年生優先,40,12,4,12,0,0,0,0
74135.304,ＧＳ言語科目,EAP（Retake）,木4,森川　智成,２年生以上限定・未修得者のみ・３～４年生優先,40,7,1,7,0,0,0,0
74143.013,自由履修科目,英語セミナー,木3,西嶋　愉一,全学生,20,0,0,0,0,0,0,0
74213.020,言語科目Ａ,ドイツ語Ａ３,水4,早川　文人,全学生,30,2,1,2,0,0,0,0
74213.A01,言語科目Ａ,ドイツ語Ａ３,木3,佐藤　文彦,１年人文，国際優先,30,16,0,16,0,0,0,0
74213.A02,言語科目Ａ,ドイツ語Ａ３,木3,志村　恵,１年人文，国際優先,30,11,0,11,0,0,0,0
74213.A03,言語科目Ａ,ドイツ語Ａ３,火3,早川　文人,１年人文，国際優先,30,18,0,18,0,0,0,0
74213.B01,言語科目Ａ,ドイツ語Ａ３,火2,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
74213.B02,言語科目Ａ,ドイツ語Ａ３,火2,早川　文人,１年法優先,30,29,0,29,0,0,0,0
74213.B03,言語科目Ａ,ドイツ語Ａ３,木3,髙橋　麻帆,１年法優先,30,23,0,23,0,0,0,0
74213.C01,言語科目Ａ,ドイツ語Ａ３,木4,早川　文人,１年先導，観光デザイン，経済，地域，総合（文）優先,30,26,0,26,0,0,0,0
74213.C02,言語科目Ａ,ドイツ語Ａ３,木4,髙橋　麻帆,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
74213.C03,言語科目Ａ,ドイツ語Ａ３,水3,田中　まり,１年先導，観光デザイン，経済，地域，総合（文）優先,30,19,0,19,0,0,0,0
74214.026,言語科目Ａ,ドイツ語Ａ４,水5,KLACANSKAJANA,全学生,30,2,1,2,0,0,0,0
74214.A01,言語科目Ａ,ドイツ語Ａ４,火3,KLACANSKAJANA,１年人文，国際優先,30,15,0,15,0,0,0,0
74214.A02,言語科目Ａ,ドイツ語Ａ４,火3,THELENTIMO,１年人文，国際優先,30,11,0,11,0,0,0,0
74214.A03,言語科目Ａ,ドイツ語Ａ４,木3,THELENTIMO,１年人文，国際優先,30,21,0,21,0,0,0,0
74214.B01,言語科目Ａ,ドイツ語Ａ４,木3,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
74214.B02,言語科目Ａ,ドイツ語Ａ４,木3,KLACANSKAJANA,１年法優先,30,29,0,29,0,0,0,0
74214.B03,言語科目Ａ,ドイツ語Ａ４,火2,KLACANSKAJANA,１年法優先,30,23,0,23,0,0,0,0
74214.C01,言語科目Ａ,ドイツ語Ａ４,水3,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,25,0,25,0,0,0,0
74214.C02,言語科目Ａ,ドイツ語Ａ４,水3,BITTMANNHEIKO,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
74214.C03,言語科目Ａ,ドイツ語Ａ４,木4,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,21,0,20,1,0,0,0
7421e.021,言語科目Ａ,ドイツ語Ａ３－１,水4,早川　文人,全学生,30,2,1,2,0,0,0,0
7421e.A01,言語科目Ａ,ドイツ語Ａ３－１,木3,佐藤　文彦,１年人文，国際優先,30,16,0,16,0,0,0,0
7421e.A02,言語科目Ａ,ドイツ語Ａ３－１,木3,志村　恵,１年人文，国際優先,30,11,0,11,0,0,0,0
7421e.A03,言語科目Ａ,ドイツ語Ａ３－１,火3,早川　文人,１年人文，国際優先,30,18,0,18,0,0,0,0
7421e.B01,言語科目Ａ,ドイツ語Ａ３－１,火2,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
7421e.B02,言語科目Ａ,ドイツ語Ａ３－１,火2,早川　文人,１年法優先,30,29,0,29,0,0,0,0
7421e.B03,言語科目Ａ,ドイツ語Ａ３－１,木3,髙橋　麻帆,１年法優先,30,23,0,23,0,0,0,0
7421e.C01,言語科目Ａ,ドイツ語Ａ３－１,木4,早川　文人,１年先導，観光デザイン，経済，地域，総合（文）優先,30,26,0,26,0,0,0,0
7421e.C02,言語科目Ａ,ドイツ語Ａ３－１,木4,髙橋　麻帆,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
7421e.C03,言語科目Ａ,ドイツ語Ａ３－１,水3,田中　まり,１年先導，観光デザイン，経済，地域，総合（文）優先,30,19,0,19,0,0,0,0
7421g.027,言語科目Ａ,ドイツ語Ａ４－１,水5,KLACANSKAJANA,全学生,30,2,1,2,0,0,0,0
7421g.A01,言語科目Ａ,ドイツ語Ａ４－１,火3,KLACANSKAJANA,１年人文，国際優先,30,15,0,15,0,0,0,0
7421g.A02,言語科目Ａ,ドイツ語Ａ４－１,火3,THELENTIMO,１年人文，国際優先,30,11,0,11,0,0,0,0
7421g.A03,言語科目Ａ,ドイツ語Ａ４－１,木3,THELENTIMO,１年人文，国際優先,30,21,0,21,0,0,0,0
7421g.B01,言語科目Ａ,ドイツ語Ａ４－１,木3,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
7421g.B02,言語科目Ａ,ドイツ語Ａ４－１,木3,KLACANSKAJANA,１年法優先,30,29,0,29,0,0,0,0
7421g.B03,言語科目Ａ,ドイツ語Ａ４－１,火2,KLACANSKAJANA,１年法優先,30,23,0,23,0,0,0,0
7421g.C01,言語科目Ａ,ドイツ語Ａ４－１,水3,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,25,0,25,0,0,0,0
7421g.C02,言語科目Ａ,ドイツ語Ａ４－１,水3,BITTMANNHEIKO,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
7421g.C03,言語科目Ａ,ドイツ語Ａ４－１,木4,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,21,0,20,1,0,0,0
74230.043,言語科目Ｃ,ドイツ語Ｃ,月4,THELENTIMO,２年以上限定,30,0,0,0,0,0,0,0
74230.049,言語科目Ｃ,ドイツ語Ｃ,木2,R.ライヒェルト,２年以上限定,30,0,0,0,0,0,0,0
7423a.044,言語科目Ｃ,ドイツ語Ｃ－１,月4,THELENTIMO,２年以上限定,30,0,0,0,0,0,0,0
7423a.050,言語科目Ｃ,ドイツ語Ｃ－１,木2,R.ライヒェルト,２年以上限定,30,0,0,0,0,0,0,0
74313.019,言語科目Ａ,フランス語Ａ３,木6,佐藤　朋子,全学生,30,1,0,1,0,0,0,0
74313.A01,言語科目Ａ,フランス語Ａ３,火2,阪上　るり子,１年人文，法，国際優先,30,16,0,16,0,0,0,0
74313.A02,言語科目Ａ,フランス語Ａ３,火2,岩津　航,１年人文，法，国際優先,30,28,0,28,0,0,0,0
74313.A03,言語科目Ａ,フランス語Ａ３,木3,岩津　航,１年人文，法，国際優先,30,22,0,22,0,0,0,0
74313.A04,言語科目Ａ,フランス語Ａ３,木4,南　コニー,1年先導，観光デザイン，経済，地域，総合（文）優先,30,20,0,20,0,0,0,0
74313.A05,言語科目Ａ,フランス語Ａ３,木4,佐藤　朋子,1年先導，観光デザイン，経済，地域，総合（文）優先,30,27,0,27,0,0,0,0
74314.031,言語科目Ａ,フランス語Ａ４,水5,佐藤　朋子,全学生,30,2,0,2,0,0,0,0
74314.A01,言語科目Ａ,フランス語Ａ４,木3,阪上　るり子,１年人文，法，国際優先,30,16,0,16,0,0,0,0
74314.A02,言語科目Ａ,フランス語Ａ４,木3,佐藤　朋子,１年人文，法，国際優先,30,30,0,30,0,0,0,0
74314.A03,言語科目Ａ,フランス語Ａ４,火2,佐藤　朋子,１年人文，法，国際優先,30,23,0,23,0,0,0,0
74314.A04,言語科目Ａ,フランス語Ａ４,水3,MENOULOICHENRIPAUL,1年先導，観光デザイン，経済，地域，総合（文）優先,30,18,0,18,0,0,0,0
